5.3759 	EXP 	slider: markerPos = 1.985
5.3825 	EXP 	slider: markerPos = 1.985
5.3922 	EXP 	slider: markerPos = 1.985
5.3985 	EXP 	slider: markerPos = 1.985
5.4089 	EXP 	slider: markerPos = 1.985
5.4155 	EXP 	slider: markerPos = 1.985
5.4256 	EXP 	slider: markerPos = 1.985
5.4320 	EXP 	slider: markerPos = 1.985
5.4423 	EXP 	slider: markerPos = 1.985
5.4486 	EXP 	slider: markerPos = 1.985
5.4589 	EXP 	slider: markerPos = 1.985
5.4653 	EXP 	slider: markerPos = 1.985
5.4753 	EXP 	slider: markerPos = 1.985
5.4818 	EXP 	slider: markerPos = 1.985
5.4922 	EXP 	slider: markerPos = 1.985
5.4926 	DATA 	Mouse:  Left button up, pos=(297,164)
5.4987 	EXP 	slider: markerPos = 1.985
5.4993 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'study_word': 'Chart', 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
5.5084 	EXP 	text: autoDraw = False
5.5084 	EXP 	slider: autoDraw = False
5.5084 	EXP 	text: height = 0.05
5.5084 	EXP 	text: height = 0.05
5.5084 	EXP 	text: height = 0.05
5.5084 	EXP 	text: text = 'Chart'
5.5084 	EXP 	slider: markerPos = None
5.5084 	EXP 	slider: markerPos = None
5.5084 	EXP 	text: autoDraw = True
5.5084 	EXP 	slider: autoDraw = True
5.6629 	DATA 	Mouse: Left button down, pos=(297,164)
5.6758 	EXP 	slider: markerPos = 1.985
5.6825 	EXP 	slider: markerPos = 1.985
5.6922 	EXP 	slider: markerPos = 1.985
5.6988 	EXP 	slider: markerPos = 1.985
5.7092 	EXP 	slider: markerPos = 1.985
5.7159 	EXP 	slider: markerPos = 1.985
5.7256 	EXP 	slider: markerPos = 1.985
5.7320 	EXP 	slider: markerPos = 1.985
5.7422 	EXP 	slider: markerPos = 1.985
5.7486 	EXP 	slider: markerPos = 1.985
5.7593 	EXP 	slider: markerPos = 1.985
5.7656 	EXP 	slider: markerPos = 1.985
5.7755 	EXP 	slider: markerPos = 1.985
5.7819 	EXP 	slider: markerPos = 1.985
5.7925 	EXP 	slider: markerPos = 1.985
5.7991 	EXP 	slider: markerPos = 1.985
5.8092 	EXP 	slider: markerPos = 1.985
5.8158 	EXP 	slider: markerPos = 1.985
5.8258 	EXP 	slider: markerPos = 1.985
5.8262 	DATA 	Mouse:  Left button up, pos=(297,164)
5.8326 	EXP 	slider: markerPos = 1.985
5.8332 	EXP 	New trial (rep=0, index=7): <Trial 7 (7 in rep 0) data={'study_word': 'Cruise', 'thisN': 7, 'thisTrialN': 7, 'thisRepN': 0}>
5.8416 	EXP 	text: autoDraw = False
5.8416 	EXP 	slider: autoDraw = False
5.8416 	EXP 	text: height = 0.05
5.8416 	EXP 	text: height = 0.05
5.8416 	EXP 	text: height = 0.05
5.8416 	EXP 	text: text = 'Cruise'
5.8416 	EXP 	slider: markerPos = None
5.8416 	EXP 	slider: markerPos = None
5.8416 	EXP 	text: autoDraw = True
5.8416 	EXP 	slider: autoDraw = True
6.0266 	DATA 	Mouse: Left button down, pos=(297,164)
6.0336 	EXP 	slider: markerPos = 1.985
6.0417 	EXP 	slider: markerPos = 1.985
6.0488 	EXP 	slider: markerPos = 1.985
6.0596 	EXP 	slider: markerPos = 1.985
6.0664 	EXP 	slider: markerPos = 1.985
6.0754 	EXP 	slider: markerPos = 1.985
6.0818 	EXP 	slider: markerPos = 1.985
6.0922 	EXP 	slider: markerPos = 1.985
6.0986 	EXP 	slider: markerPos = 1.985
6.1087 	EXP 	slider: markerPos = 1.985
6.1148 	EXP 	slider: markerPos = 1.985
6.1252 	EXP 	slider: markerPos = 1.985
6.1311 	EXP 	slider: markerPos = 1.985
6.1419 	EXP 	slider: markerPos = 1.985
6.1480 	EXP 	slider: markerPos = 1.985
6.1585 	EXP 	slider: markerPos = 1.985
6.1647 	EXP 	slider: markerPos = 1.985
6.1689 	DATA 	Mouse:  Left button up, pos=(297,164)
6.1752 	EXP 	slider: markerPos = 1.985
6.1812 	EXP 	slider: markerPos = 1.985
6.1818 	EXP 	New trial (rep=0, index=8): <Trial 8 (8 in rep 0) data={'study_word': 'marble', 'thisN': 8, 'thisTrialN': 8, 'thisRepN': 0}>
6.1918 	EXP 	text: autoDraw = False
6.1918 	EXP 	slider: autoDraw = False
6.1918 	EXP 	text: height = 0.05
6.1918 	EXP 	text: height = 0.05
6.1918 	EXP 	text: height = 0.05
6.1918 	EXP 	text: text = 'marble'
6.1918 	EXP 	slider: markerPos = None
6.1918 	EXP 	slider: markerPos = None
6.1918 	EXP 	text: autoDraw = True
6.1918 	EXP 	slider: autoDraw = True
6.3660 	DATA 	Mouse: Left button down, pos=(297,164)
6.3753 	EXP 	slider: markerPos = 1.985
6.3818 	EXP 	slider: markerPos = 1.985
6.3918 	EXP 	slider: markerPos = 1.985
6.3982 	EXP 	slider: markerPos = 1.985
6.4085 	EXP 	slider: markerPos = 1.985
6.4147 	EXP 	slider: markerPos = 1.985
6.4251 	EXP 	slider: markerPos = 1.985
6.4313 	EXP 	slider: markerPos = 1.985
6.4420 	EXP 	slider: markerPos = 1.985
6.4480 	EXP 	slider: markerPos = 1.985
6.4584 	EXP 	slider: markerPos = 1.985
6.4647 	EXP 	slider: markerPos = 1.985
6.4751 	EXP 	slider: markerPos = 1.985
6.4813 	EXP 	slider: markerPos = 1.985
6.4919 	EXP 	slider: markerPos = 1.985
6.4980 	EXP 	slider: markerPos = 1.985
6.5085 	EXP 	slider: markerPos = 1.985
6.5145 	EXP 	slider: markerPos = 1.985
6.5251 	EXP 	slider: markerPos = 1.985
6.5311 	EXP 	slider: markerPos = 1.985
6.5419 	EXP 	slider: markerPos = 1.985
6.5484 	EXP 	slider: markerPos = 1.985
6.5524 	DATA 	Mouse:  Left button up, pos=(297,164)
6.5585 	EXP 	slider: markerPos = 1.985
6.5643 	EXP 	slider: markerPos = 1.985
6.5649 	EXP 	New trial (rep=0, index=9): <Trial 9 (9 in rep 0) data={'study_word': 'Laptop', 'thisN': 9, 'thisTrialN': 9, 'thisRepN': 0}>
6.5749 	EXP 	text: autoDraw = False
6.5749 	EXP 	slider: autoDraw = False
6.5749 	EXP 	text: height = 0.05
6.5749 	EXP 	text: height = 0.05
6.5749 	EXP 	text: height = 0.05
6.5749 	EXP 	text: text = 'Laptop'
6.5749 	EXP 	slider: markerPos = None
6.5749 	EXP 	slider: markerPos = None
6.5749 	EXP 	text: autoDraw = True
6.5749 	EXP 	slider: autoDraw = True
6.6989 	DATA 	Mouse: Left button down, pos=(297,164)
6.7089 	EXP 	slider: markerPos = 1.985
6.7157 	EXP 	slider: markerPos = 1.985
6.7258 	EXP 	slider: markerPos = 1.985
6.7321 	EXP 	slider: markerPos = 1.985
6.7422 	EXP 	slider: markerPos = 1.985
6.7484 	EXP 	slider: markerPos = 1.985
